name,color
Alabama,#E41A1C
Alaska,#FFFF33
Arizona,#FF7F00
Arkansas,#FF7F00
California,#FF7F00
Colorado,#FF7F00
Connecticut,#FF7F00
Delaware,#FF7F00
District of Columbia ,#999999
Florida,#984EA3
Georgia,#984EA3
Hawaii,#984EA3
Idaho,#984EA3
Illinois,#984EA3
Indiana,#984EA3
Iowa,#377EB8
Kansas,#377EB8
Kentucky,#377EB8
Louisiana,#377EB8
Maine,#377EB8
Maryland,#377EB8
Massachusetts,#377EB8
Michigan,#377EB8
Minnesota,#377EB8
Mississippi,#377EB8
Missouri,#377EB8
Montana,#4DAF4A
Nebraska,#4DAF4A
Nevada,#4DAF4A
New Hampshire,#4DAF4A
New Jersey,#4DAF4A
New Mexico,#F781BF
New York,#F781BF
North Carolina,#F781BF
North Dakota,#A65628
Ohio,#E41A1C
Oklahoma,#FFFF33
Oregon,#FF7F00
Pennsylvania,#FF7F00
Rhode Island,#FF7F00
South Carolina,#FF7F00
South Dakota,#FF7F00
Tennessee,#FF7F00
Texas,#999999
Utah,#984EA3
Vermont,#984EA3
Virginia,#984EA3
Washington,#984EA3
West Virginia,#984EA3
Wisconsin,#984EA3
Wyoming,#377EB8
